title,magazine,author,abstract
pyDSM: GPU-accelerated rheology predictions for entangled polymers in Python,"Computer Physics Communications (IF 4.717 )

                

                Pub Date : 2023-05-18 ,DOI:10.1016/j.cpc.2023.108786","Jeffrey G. Ethier, Andrés Córdoba, Jay D. Schieber","slip-link model and the clustered fixed slip-link model in Python . Our work shows that Python can also utilize GPUs for fast quantitative rheological predictions. Our simulation code, named pyDSM, allows an easy-to-read and beginner-friendly approach for users wanting to utilize the efficiency of GPU computing while also enabling an open-source Python package that can easily couple or interact with other

                ..."
Gos: a declarative library for interactive genomics visualization in Python,"Bioinformatics (IF 6.931 )

                

                Pub Date : 2023-01-23 ,DOI:10.1093/bioinformatics/btad050","Trevor Manz, Sehi L’Yi, Nils Gehlenborg","Summary Gos is a declarative Python library designed to create interactive multiscale visualizations of genomics and epigenomics data. It provides a consistent and simple interface to the flexible Gosling visualization grammar. Gos hides technical complexities involved with configuring web-based genome browsers and integrates seamlessly within computational notebooks environments to enable new interactive

                ..."
peaks2utr: a robust Python tool for the annotation of 3’ UTRs,"Bioinformatics (IF 6.931 )

                

                Pub Date : 2023-03-03 ,DOI:10.1093/bioinformatics/btad112","William Haese-Hill, Kathryn Crouch, Thomas D Otto","yet is mostly overlooked in annotation pipelines. Here we present peaks2utr, an easy-to-use Python command line tool that uses the UTR enrichment of single-cell technologies, such as 10x Chromium, to accurately annotate 3’ UTRs for a given canonical annotation. Availability peaks2utr is implemented in Python 3 (≥ 3.8). It is available via PyPI at https://pypi.org/project/peaks2utr and GitHub at https://github

                ..."
pynucastro: A Python Library for Nuclear Astrophysics,"The Astrophysical Journal (IF 5.521 )

                

                Pub Date : 2023-04-21 ,DOI:10.3847/1538-4357/acbaff","Alexander I. Smith, Eric T. Johnson, Zhi Chen, Kiran Eiden, Donald E. Willcox, Brendan Boyd, Lyra Cao, Christopher J. DeGrendele, Michael Zingale","We describe pynucastro 2.0, an open-source library for interactively creating and exploring astrophysical nuclear reaction networks. We demonstrate new methods for approximating rates and use detailed balance to create reverse rates, show how to build networks and determine whether they are appropriate for a particular science application, and discuss the changes made to the library over the past few

                ..."
MolClustPy: A Python Package to characterize multivalent biomolecular clusters,"Bioinformatics (IF 6.931 )

                

                Pub Date : 2023-06-16 ,DOI:10.1093/bioinformatics/btad385","Aniruddha Chattaraj, Indivar Nalagandla, Leslie M Loew, Michael L Blinov","statistical analysis offered by MolClustPy is readily applicable to other stochastic simulation software, such as SpringSaLaD and Readdy. Availability and implementation The software is implemented in Python . A detailed Jupyter notebook is provided to enable convenient running. Code, user guide and examples are freely available at https://molclustpy.github.io/ Supplementary information Available at https://molclustpy

                ..."
SBML2HYB: a Python interface for SBML compatible hybrid modelling,"Bioinformatics (IF 6.931 )

                

                Pub Date : 2023-01-20 ,DOI:10.1093/bioinformatics/btad044","José Pinto, Rafael S Costa, Leonardo Alexandre, J Ramos, Rui Oliveira","possible the SBML rules. We expect the sbml2hyb tool and HMOD to greatly facilitate the widespread usage of hybrid modeling techniques for biological systems analysis. Availability and implementation The Python interface, source code and the example models used for the case studies are accessible at: https://github.com/r-costa/sbml2hyb. Supplementary information Supplementary data are available at Bioinformatics

                ..."
"﻿Burmese pythons in Florida: A synthesis of biology, impacts, and management tools","NeoBiota (IF 4.225 )

                

                Pub Date : 2023-01-10 ,DOI:10.3897/neobiota.80.90439","Jacquelyn C. Guzy, Bryan G. Falk, Brian J. Smith, John David Willson, Robert N. Reed, Nicholas G. Aumen, Michael L. Avery, Ian A. Bartoszek, Earl Campbell, Michael S. Cherkiss, Natalie M. Claunch, Andrea F. Currylow, Tylan Dean, Jeremy Dixon, Richard Engeman, Sarah Funck, Rebekah Gibble, Kodiak C. Hengstebeck, John S. Humphrey, Margaret E. Hunter, Jillian M. Josimovich, Jennifer Ketterlin, Michael","﻿ Burmese pythons ( Python molurus bivittatus) are native to southeastern Asia, however, there is an established invasive population inhabiting much of southern Florida throughout the Greater Everglades Ecosystem. Pythons have severely impacted native species and ecosystems in Florida and represent one of the most intractable invasive-species management issues across the globe. The difficulty stems

                ..."
GIL: A python package for designing custom indexing primers,"Bioinformatics (IF 6.931 )

                

                Pub Date : 2023-05-20 ,DOI:10.1093/bioinformatics/btad328","Nicholas Mateyko, Omar Tariq, Xinyi E Chen, Will Cheney, Asfar Lathif Salaudeen, Ishika Luthra, Najmeh Nikpour, Abdul Muntakim Rafi, Hadis Kamali Deghan, Cassandra Jensen, Carl de Boer","specifications, including length, sequencing modality, color balancing, and compatibility with existing primers, and produces ordering and demultiplexing-ready outputs. Availability GIL is written in Python and is freely available on GitHub under the MIT license: https://github.com/de-Boer-Lab/GIL and can be accessed as a web-application implemented in Streamlit at https://dbl-gil.streamlitapp.com. Supplementary

                ..."
Inflation: a Python library for classical and quantum causal compatibility,"Quantum (IF 6.439 )

                

                Pub Date : 2023-05-04 ,DOI:10.22331/q-2023-05-04-996","Emanuel-Cristian Boghiu, Elie Wolfe, Alejandro Pozas-Kerstjens","We introduce Inflation, a Python library for assessing whether an observed probability distribution is compatible with a causal explanation. This is a central problem in both theoretical and applied sciences, which has recently witnessed significant advances from the area of quantum nonlocality, namely, in the development of inflation techniques. Inflation is an extensible toolkit that is capable of

                ..."
Biotite: new tools for a versatile Python bioinformatics library,"BMC Bioinformatics (IF 3.307 )

                

                Pub Date : 2023-06-05 ,DOI:10.1186/s12859-023-05345-6","Patrick Kunzmann, Tom David Müller, Maximilian Greil, Jan Hendrik Krumbach, Jacob Marcel Anter, Daniel Bauer, Faisal Islam, Kay Hamacher","Biotite is a program library for sequence and structural bioinformatics written for the Python programming language. It implements widely used computational methods into a consistent and accessible package. This allows for easy combination of various data analysis, modeling and simulation methods. This article presents major functionalities introduced into Biotite since its original publication. The

                ..."
